Piezas,,,,,,,,,,,,,,,,
,,Comunicado,,,,,,No enviados,,Opens,,,Click,,,
,,Desde,Hasta,Enviados,Entregados,Bounces,Unsuscribers,Not Sent,Not Sent Rate,Total,Unique,Open Rate,Total,Unique,Click Rate,Comentarios
MARZO,,,,,,,,,,,,,,,,
MAR_01_CUPON_VENDIMIA_15OFF,,06/03,10/03,19060,12684,277,30,6098,"31,99%",5070,3969,"31,14%",263,186,"4,63%",Comunicado a toda la base
MAR_01_CUPON_VENDIMIA_15OFF_NO_ABRIDORES,,20/03,24/03,14845,8383,133,9,6329,"42,63%",797,619,"7,38%",98,69,"11,14%",Comunicado a toda la base
MAR_02_CUPON_MOMENTOS_20K,,11/03,12/03,19220,12603,361,21,6254,"32,54%",5189,4051,"32,14%",323,224,"5,52%",Comunicado a toda la base
MAR_03_DIA_DEL_RIESLING,,13/03,13/03,6924,4436,36,6,2452,"35,41%",1798,1434,32.32%,97,74,"5,16%",Comunicado a T2 y T3
MAR_05_SELECCIONES_ESPECIALES,,27/03,31/03,12797,12705,174,28,92,"0,72%",5384,4083,"32,13%",419,289,"7,07%",Esta fue la primera comunicacion que salio a la base sin los not sent
MAR_04_SEMANA_VERMOUTH,,20/03,20/03,19261,12464,331,25,6464,"33,56%",4872,3843,"30,83%",223,148,"3,85%",Comunicado a toda la base
ABRIL,,,,,,,,,,,,,,,,
ABR_01_CUPÓN_PASCUA,,01/04,06/04,12797,12598,170,22,199,"1,56%",4838,3790,"30,08%",252,161,"4,25%",Comunicado a toda la base
ABR_02_LB_MALBEC,,13/04,17/04,12797,12521,149,19,276,"2,16%",5523,4114,"32,86%",560,357,"8,68%",Se comunico a toda la base y se empezo a personalizar el Subject. (utilizamos solo subject con una personalizacion de %%FirstName%%)
ABR_03_MALBEC_DE_SANGRE,,21/04,21/04,12886,12549,92,33,337,"2,62%",5342,4013,"31,98%",491,332,"8,27%","Se comunico a toda la base y se empezo a personalizar el Subject. (utilizamos subject y preheader sin personalización de variable, pero si personalizado)"
ABR_04_LANZAMIENTO_DS_CHARDONAY,,24/04,27/04,12895,12485,65,22,410,"3,18%",5255,4095,"32,80%",283,202,"4,93%",Se comunico a toda la base y se empezo a personalizar el Subject. (utilizamos sub y preh con un preheader con personalización de variable)
MAYO,,,,,,,,,,,,,,,,
MAY_01_CAVA_REGALO_VERDE,,04/05,05/05,9332,8950,19,23,382,"4,09%",5602,4012,"44,83%",1009,459,"11,44%","Primer envio diviendo por usuarios activos e inactivos, con subject personalizado"
MAY_01_CAVA_REGALO_ROJO,,04/05,05/05,3563,3480,13,2,70,"1,96%",60,50,"1,44%",29,19,38%,"Primer envio diviendo por usuarios activos e inactivos, con subject personalizado"
MAY_02_CUPON_15_MOMENTOS,,,,,,,,,,,,,,,,
MAY_03_DESANGRE_MALBEC_DE_UCO,,,,,,,,,,,,,,,,
MAY_04_CUPON_20K_MAYO,,,,,,,,,,,,,,,,
